   0.00000000       1.51089485E-14
  0.300000012       2.68672400E-13
  0.600000024       3.65485376E-12
  0.900000036       4.20418249E-11
   1.20000005       4.12427703E-10
   1.50000000       3.46100681E-09
   1.80000007       2.49210608E-08
   2.10000014       1.54498579E-07
   2.40000010       8.27820543E-07
   2.70000005       3.84975237E-06
   3.00000000       1.56102324E-05
   3.30000019       5.54646067E-05
   3.60000014       1.73599023E-04
   3.90000010       4.81318944E-04
   4.20000029       1.18912407E-03
   4.50000000       2.63390550E-03
   4.80000019       5.26418211E-03
   5.10000038       9.55657195E-03
   5.40000010       1.58670992E-02
   5.70000029       2.42661778E-02
   6.00000000       3.44349593E-02
   6.30000019       4.56858464E-02
   6.60000038       5.71138337E-02
   6.90000010       6.78225309E-02
   7.20000029       7.71379322E-02
   7.50000048       8.47395137E-02
   7.80000019       9.06840265E-02
   8.10000038       9.53429714E-02
   8.40000057       9.92973298E-02
   8.70000076      0.103230573    
   9.00000000      0.107843280    
   9.30000019      0.113793142    
   9.60000038      0.121651240    
   9.90000057      0.131785735    
   10.2000008      0.144207746    
   10.5000000      0.158453226    
   10.8000002      0.173462361    
   11.1000004      0.187515959    
   11.4000006      0.198315457    
   11.7000008      0.203290060    
   12.0000000      0.200155646    
   12.3000002      0.187627718    
   12.6000004      0.166047409    
   12.9000006      0.137606710    
   13.2000008      0.105953157    
   13.5000010       7.52258152E-02
   13.8000002       4.88899797E-02
   14.1000004       2.88800150E-02
   14.4000006       1.54001499E-02
   14.7000008       7.36425305E-03
   15.0000010       3.13790049E-03
   15.3000002       1.18412368E-03
   15.6000004       3.93424532E-04
   15.9000006       1.14451155E-04
   16.2000008       2.90001954E-05
   16.5000000       6.36917002E-06
   16.8000011       1.20700179E-06
   17.1000004       1.96558062E-07
   17.4000015       2.74048428E-08
   17.7000008       3.26060645E-09
   18.0000000       3.30110411E-10
   18.3000011       2.83577432E-11
   18.6000004       2.05042212E-12
   18.9000015       1.13144337E-13
